Crisis,Start,End,Strategy,Observations,CumulativeReturn,AnnualizedReturn,AnnualizedVolatility,Sharpe,MaxDrawdown
Global financial crisis,2007-10-09,2009-03-09,EntropyMVO,355,-0.4733921975564168,-0.36569928244768757,0.30242679340333906,-1.2092158843874774,-0.48994690820365394
Global financial crisis,2007-10-09,2009-03-09,EqualWeightTop10,355,-0.5079832422696573,-0.3955656902495037,0.35271186789745657,-1.1214981015736787,-0.5154241314695353
Global financial crisis,2007-10-09,2009-03-09,SP500,355,-0.5443223594559912,-0.4276060209835225,0.38007716575143297,-1.1250505410871565,-0.5479905139277177
Euro debt and US downgrade,2011-07-01,2011-12-31,EntropyMVO,127,0.0159965597420193,0.03199106126967788,0.2150807755101377,0.14873975228051006,-0.11939938455519084
Euro debt and US downgrade,2011-07-01,2011-12-31,EqualWeightTop10,127,0.038582189377917686,0.07801010015103382,0.24279671096984665,0.3212980103372242,-0.13103198720627307
Euro debt and US downgrade,2011-07-01,2011-12-31,SP500,127,-0.03690345398996453,-0.0718956274030399,0.30287025381543375,-0.23738094612240265,-0.1837696429619171
COVID crash,2020-02-19,2020-04-30,EntropyMVO,51,-0.08375038461930584,-0.35091210677623064,0.6232493938413797,-0.5630364188778332,-0.25851837019763224
COVID crash,2020-02-19,2020-04-30,EqualWeightTop10,51,-0.08838328175328891,-0.36696840093094585,0.6338699656891327,-0.5789332525512295,-0.2779830271395368
COVID crash,2020-02-19,2020-04-30,SP500,51,-0.13254850982387623,-0.5047110686112475,0.6791356243693137,-0.743166829276483,-0.33790427928570044
Inflation and rates bear market,2022-01-03,2022-12-30,EntropyMVO,251,-0.3380860777943113,-0.33917330646035604,0.30122213498753797,-1.125990646319495,-0.3635021404928388
Inflation and rates bear market,2022-01-03,2022-12-30,EqualWeightTop10,251,-0.35481220586176543,-0.3559376383955619,0.30931902699789304,-1.1507136882270952,-0.3803213615036404
Inflation and rates bear market,2022-01-03,2022-12-30,SP500,251,-0.18110865254068143,-0.1817602563424523,0.24175141137100542,-0.7518477567997016,-0.2449161692266809
